"Day","Date","Wave","CS","Mission","Brief","TO","Land","FCP","FCP lvl","RCP","RCP lvl","Area","Area time","Rmks","Stores"
"Monday","Jul 13","WAVE 1","VL","BFM","10:20","12:40","14:05","Saber","IP","Echo","IW","NORTH","1240-1405","1B: BFM-6","TPOD 2 TKS"
"Monday","Jul 13","WAVE 1","VL","BFM","10:20","12:40","14:05","Ranger","IP","Static","IW","SOUTH","1240-1405","2A: BFM-5","2 TKS"
"Monday","Jul 13","WAVE 1","RU","BFM","11:20","13:40","15:05","Drifter","A","Vector","C","NORTH","1340-1505","PRI LSR","TPOD 2 TKS"
"Monday","Jul 13","WAVE 1","RU","BFM","11:20","13:40","15:05","Piston","IP","Relay","IW","SOUTH","1340-1505","2A: BFM-ADD","2 TKS"
"Monday","Jul 13","WAVE 2","VL","BFM","17:25","19:45","21:10","Saber","IP","Echo","IW","WEST","1945-2110","1B: NIGHT BFM","2 TKS NAV"
"Monday","Jul 13","WAVE 2","VL","BFM","17:25","19:45","21:10","Wildcard","OCU","Tally","OCU","SOUTH","1945-2110","2A: DT / OCU","NAV"
"Monday","Jul 13","WAVE 2","RU","BFM","17:00","19:20","20:45","Piston","IP","Relay","IW","WEST","1920-2045","1A: NIGHT","2 TKS NAV"
"Monday","Jul 13","WAVE 2","RU","BFM","17:00","19:20","20:45","Outlaw","C","Wisp","C","SOUTH","1920-2045","2A: NIGHT BFM","NAV"
"Tuesday","Jul 14","WAVE 1","VL","BFM","06:20","08:40","10:05","Warden","IP","Basher","IW","EAST","0840-1005","1B: BFM-3","TPOD 2 TKS"
"Tuesday","Jul 14","WAVE 1","VL","BFM","06:20","08:40","10:05","Outlaw","C","Hex","C","SOUTH","0840-1005","2A: BFM-6","2 TKS"
"Tuesday","Jul 14","WAVE 1","RU","BFM","07:20","09:40","11:05","Drifter","A","Vector","C","EAST","0940-1105","1A: NO AAR","2 TKS"
"Tuesday","Jul 14","WAVE 1","RU","BFM","07:20","09:40","11:05","Gambit","C","Dash","C","SOUTH","0940-1105","PRI LSR","2 TKS"
"Tuesday","Jul 14","WAVE 2","VL","SAT","12:20","14:40","16:05","Ace","A","Static","IW","NORTH+EAST","1440-1605","SAT 2VX","TPOD 2 TKS 2 X GBU-12"
"Tuesday","Jul 14","WAVE 2","VL","SAT","12:20","14:40","16:05","Saint","B","Rune","B","SOUTH","1440-1605","2A: SAT-REF","2 TKS"
"Tuesday","Jul 14","WAVE 2","RU","ACM","12:20","14:40","16:05","Rebel","B","Cinder","B","NORTH+EAST","1440-1605","RED AIR","2 TKS"
"Tuesday","Jul 14","WAVE 2","RU","ACM","12:20","14:40","16:05","Vapor","D","Marlin","A","SOUTH","1440-1605","2A: ACM-2","2 TKS"
"Wednesday","Jul 15","WAVE 1","VL","ACM","08:15","10:35","12:00","Trident","IP","Relay","IW","EAST","1035-1200","1B: ACM-4","TPOD 2 TKS"
"Wednesday","Jul 15","WAVE 1","VL","ACM","08:15","10:35","12:00","Gambit","C","Hex","C","SOUTH","1035-1200","2A: ACM ADD","2 TKS"
